time,timestamp,voltage,current,remaining,remaining_c,remaining_v,SOH,initial,connected,reserved1,reserved2,uctimestamp,init_SOC,resistance,cvoltage,cvoltage_orin
23.609취,26413,1238,0,-1,0,-1,100,0,0,0,0,26413,0,0.02,0,0
23.709취,26513,1265,0,-1,0,-1,100,0,0,0,0,26513,0,0.02,0,0
23.809취,26613,1260,0,-1,0,-1,100,0,0,0,0,26613,0,0.02,0,0
23.909취,26713,1259,0,-1,0,-1,100,0,0,0,0,26713,0,0.02,0,0
24.009취,26813,1249,0,-1,0,-1,100,0,0,0,0,26813,0,0.02,0,0
24.109취,26913,1260,0,-1,0,-1,100,0,0,0,0,26913,0,0.02,0,0
24.209취,27013,1258,0,-1,0,-1,100,0,0,0,0,27013,0,0.02,0,0
24.309취,27113,1250,0,-1,0,-1,100,0,0,0,0,27113,0,0.02,0,0
24.409취,27213,1258,0,-1,0,-1,100,0,0,0,0,27213,0,0.02,0,0
24.509취,27313,1257,0,-1,0,-1,100,0,0,0,0,27313,0,0.02,0,0
24.609취,27413,1252,0,-1,0,-1,100,0,0,0,0,27413,0,0.02,0,0
24.709취,27513,1245,0,-1,0,-1,100,0,0,0,0,27513,0,0.02,0,0
24.809취,27613,1260,0,-1,0,-1,100,0,0,0,0,27613,0,0.02,0,0
24.909취,27713,1257,0,-1,0,-1,100,0,0,0,0,27713,0,0.02,0,0
25.009취,27813,1239,0,-1,0,-1,100,0,0,0,0,27813,0,0.02,0,0
25.109취,27913,1244,0,-1,0,-1,100,0,0,0,0,27913,0,0.02,0,0
25.209취,28013,1251,0,-1,0,-1,100,0,0,0,0,28013,0,0.02,0,0
25.309취,28113,1251,0,-1,0,-1,100,0,0,0,0,28113,0,0.02,0,0
25.409취,28213,1243,0,-1,0,-1,100,0,0,0,0,28213,0,0.02,0,0
25.509취,28313,1248,0,-1,0,-1,100,0,0,0,0,28313,0,0.02,0,0
25.609취,28413,1264,0,-1,0,-1,100,0,0,0,0,28413,0,0.02,0,0
25.709취,28513,1249,0,-1,0,-1,100,0,0,0,0,28513,0,0.02,0,0
25.809취,28613,1244,0,-1,0,-1,100,0,0,0,0,28613,0,0.02,0,0
25.909취,28713,1244,0,-1,0,-1,100,0,0,0,0,28713,0,0.02,0,0
26.009취,28813,1240,0,-1,0,-1,100,0,0,0,0,28813,0,0.02,0,0
26.109취,28913,1248,0,-1,0,-1,100,0,0,0,0,28913,0,0.02,0,0
26.209취,29013,1248,0,-1,0,-1,100,0,0,0,0,29013,0,0.02,0,0
26.309취,29113,1243,0,-1,0,-1,100,0,0,0,0,29113,0,0.02,0,0
26.409취,29213,1250,0,-1,0,-1,100,0,0,0,0,29213,0,0.02,0,0
26.509취,29313,1244,0,-1,0,-1,100,0,0,0,0,29313,0,0.02,0,0
26.609취,29413,1246,0,-1,0,-1,100,0,0,0,0,29413,0,0.02,0,0
26.709취,29513,1248,0,-1,0,-1,100,0,0,0,0,29513,0,0.02,0,0
26.809취,29613,1251,0,-1,0,-1,100,0,0,0,0,29613,0,0.02,0,0
26.909취,29713,1237,0,-1,0,-1,100,0,0,0,0,29713,0,0.02,0,0
27.009취,29813,1228,0,-1,0,-1,100,0,0,0,0,29813,0,0.02,0,0
27.109취,29913,1245,0,-1,0,-1,100,0,0,0,0,29913,0,0.02,0,0
27.209취,30013,1246,0,-1,0,-1,100,0,0,0,0,30013,0,0.02,0,0
27.309취,30113,1249,0,-1,0,-1,100,0,0,0,0,30113,0,0.02,0,0
27.409취,30213,1243,0,-1,0,-1,100,0,0,0,0,30213,0,0.02,0,0
27.509취,30313,1258,0,-1,0,-1,100,0,0,0,0,30313,0,0.02,0,0
27.609취,30413,1256,0,-1,0,-1,100,0,0,0,0,30413,0,0.02,0,0
27.709취,30513,1236,0,-1,0,-1,100,0,0,0,0,30513,0,0.02,0,0
27.809취,30613,1225,0,-1,0,-1,100,0,0,0,0,30613,0,0.02,0,0
27.909취,30713,1244,0,-1,0,-1,100,0,0,0,0,30713,0,0.02,0,0
28.009취,30813,1241,0,-1,0,-1,100,0,0,0,0,30813,0,0.02,0,0
28.109취,30913,1256,0,-1,0,-1,100,0,0,0,0,30913,0,0.02,0,0
28.209취,31013,1245,0,-1,0,-1,100,0,0,0,0,31013,0,0.02,0,0
28.309취,31113,1244,0,-1,0,-1,100,0,0,0,0,31113,0,0.02,0,0
28.409취,31213,1253,0,-1,0,-1,100,0,0,0,0,31213,0,0.02,0,0
28.509취,31313,1251,0,-1,0,-1,100,0,0,0,0,31313,0,0.02,0,0
28.609취,31413,1238,0,-1,0,-1,100,0,0,0,0,31413,0,0.02,0,0
28.709취,31513,1249,0,-1,0,-1,100,0,0,0,0,31513,0,0.02,0,0
28.809취,31613,1246,0,-1,0,-1,100,0,0,0,0,31613,0,0.02,0,0
28.909취,31713,1244,0,-1,0,-1,100,0,0,0,0,31713,0,0.02,0,0
29.009취,31813,1244,0,-1,0,-1,100,0,0,0,0,31813,0,0.02,0,0
29.109취,31913,1245,0,-1,0,-1,100,0,0,0,0,31913,0,0.02,0,0
29.209취,32013,1245,0,-1,0,-1,100,0,0,0,0,32013,0,0.02,0,0
29.309취,32113,1243,0,-1,0,-1,100,0,0,0,0,32113,0,0.02,0,0
29.409취,32213,1230,0,-1,0,-1,100,0,0,0,0,32213,0,0.02,0,0
29.509취,32313,1240,0,-1,0,-1,100,0,0,0,0,32313,0,0.02,0,0
29.609취,32413,1247,0,-1,0,-1,100,0,0,0,0,32413,0,0.02,0,0
29.709취,32513,1244,0,-1,0,-1,100,0,0,0,0,32513,0,0.02,0,0
29.809취,32613,1241,0,-1,0,-1,100,0,0,0,0,32613,0,0.02,0,0
29.909취,32713,1231,0,-1,0,-1,100,0,0,0,0,32713,0,0.02,0,0
30.009취,32813,1237,0,-1,0,-1,100,0,0,0,0,32813,0,0.02,0,0
30.109취,32913,1247,0,-1,0,-1,100,0,0,0,0,32913,0,0.02,0,0
30.209취,33013,1251,0,-1,0,-1,100,0,0,0,0,33013,0,0.02,0,0
30.309취,33113,1241,0,-1,0,-1,100,0,0,0,0,33113,0,0.02,0,0
30.409취,33213,1248,0,-1,0,-1,100,0,0,0,0,33213,0,0.02,0,0
30.509취,33313,1241,0,-1,0,-1,100,0,0,0,0,33313,0,0.02,0,0
30.609취,33413,1248,0,-1,0,-1,100,0,0,0,0,33413,0,0.02,0,0
30.709취,33513,1244,0,-1,0,-1,100,0,0,0,0,33513,0,0.02,0,0
30.809취,33613,1239,0,-1,0,-1,100,0,0,0,0,33613,0,0.02,0,0
30.909취,33713,1244,0,-1,0,-1,100,0,0,0,0,33713,0,0.02,0,0
