time,timestamp,phi,theta,psi,p,q,r,ax,ay,az,vn,ve,vd,airspeed,lat,lon,alt,lat_0,lon_0,alt_0,dx_dlat,dy_dlon,x_R,y_R,h_R,h_AGL,flag,status
5.202취,5202,0.02554947,-0.03869105,1.282622,-0.001008824,-0.0003443806,0.001298347,-0.4035863,-0.2351591,-9.775975,-0.001737235,-0.01441254,0.03485382,0.1,0.394492805414048,1.98952331257028,50.809438441549,0.394492822355847,1.98952331726095,50.8811209468586,6344848.39610788,5891156.14848974,-0.1074931,-0.02763342,-0.07168251,-0.07168251,255,29
5.302취,5302,0.02573361,-0.03860954,1.28247,0.002281289,0.002605341,-0.0006507734,-0.3783161,-0.2492499,-9.78536,-0.00522324,-0.01522407,0.03867104,0.1,0.394492805342847,1.989523312301,50.805652920757,0.394492822355847,1.98952331726095,50.8811209468586,6344848.39610788,5891156.14848974,-0.1079449,-0.02921982,-0.07546803,-0.07546803,255,29
5.402취,5402,0.02563775,-0.03869251,1.282411,0.001792795,0.004465624,0.001020918,-0.3975658,-0.2551167,-9.740369,-0.006036886,-0.01686925,0.03716196,0.1,0.394492805268137,1.98952331206051,50.8019401027304,0.394492822355847,1.98952331726095,50.8811209468586,6344848.39610788,5891156.14848974,-0.1084189,-0.03063659,-0.07918084,-0.07918084,255,29
5.502취,5502,0.02566439,-0.03837623,1.282621,8.157735e-05,-0.001034812,3.421093e-05,-0.3909481,-0.2407075,-9.780619,-0.009492185,-0.02328477,0.03750267,0.1,0.394492805135631,1.98952331169836,50.7981215162617,0.394492822355847,1.98952331726095,50.8811209468586,6344848.39610788,5891156.14848974,-0.1092597,-0.03277006,-0.08299943,-0.08299943,255,29
5.602취,5602,0.02565854,-0.03838063,1.282836,0.002107905,0.001612632,0.0002387341,-0.3983609,-0.2469757,-9.775015,-0.007957312,-0.02070136,0.03326788,0.1,0.394492804989511,1.98952331131252,50.7946133880359,0.394492822355847,1.98952331726095,50.8811209468586,6344848.39610788,5891156.14848974,-0.1101868,-0.03504309,-0.08650756,-0.08650756,255,29
5.702취,5702,0.02558845,-0.03854464,1.283069,-9.691321e-05,0.0007004325,0.001658904,-0.3787008,-0.2616841,-9.784195,-0.004253163,-0.01488924,0.03152478,0.1,0.394492804904369,1.98952331101322,50.791390989576,0.394492822355847,1.98952331726095,50.8811209468586,6344848.39610788,5891156.14848974,-0.110727,-0.03680634,-0.08972996,-0.08972996,255,29
5.802취,5802,0.02577696,-0.03860949,1.283026,0.001039878,0.001032551,-3.237423e-05,-0.3951918,-0.2416854,-9.78037,-0.006323893,-0.01187456,0.02802871,0.1,0.394492804821559,1.98952331079481,50.7883335171682,0.394492822355847,1.98952331726095,50.8811209468586,6344848.39610788,5891156.14848974,-0.1112524,-0.03809302,-0.09278743,-0.09278743,255,29
5.902취,5902,0.02577905,-0.03846746,1.28334,0.0006816589,-0.00167872,0.001204342,-0.3896563,-0.2578929,-9.810479,-0.007410165,-0.01269093,0.02325529,0.1,0.394492804714764,1.98952331059328,50.7858973859293,0.394492822355847,1.98952331726095,50.8811209468586,6344848.39610788,5891156.14848974,-0.11193,-0.03928027,-0.09522356,-0.09522356,255,29
6.002취,6002,0.02582923,-0.03814363,1.28378,-0.0007079346,0.003143339,0.0003373975,-0.3958561,-0.2601477,-9.785174,-0.01055478,-0.0180243,0.0295516,0.1,0.394492804583889,1.98952331033924,50.7833686588747,0.394492822355847,1.98952331726095,50.8811209468586,6344848.39610788,5891156.14848974,-0.1127604,-0.04077685,-0.09775229,-0.09775229,255,29
6.102취,6102,0.02589194,-0.03788347,1.283431,-0.0005080178,0.0009014411,0.0006013889,-0.3746923,-0.241901,-9.760988,-0.01123149,-0.01990724,0.0405513,0.1,0.394492804381102,1.98952330999285,50.7798125042063,0.394492822355847,1.98952331726095,50.8811209468586,6344848.39610788,5891156.14848974,-0.114047,-0.04281748,-0.1013084,-0.1013084,255,29
6.202취,6202,0.02558292,-0.03830361,1.283285,0.0003864689,0.002833662,0.00037259,-0.3812306,-0.2562938,-9.760066,-0.002884278,-0.01621069,0.04669249,0.1,0.394492804272178,1.98952330970781,50.7754152236921,0.394492822355847,1.98952331726095,50.8811209468586,6344848.39610788,5891156.14848974,-0.1147381,-0.04449674,-0.1057057,-0.1057057,255,29
6.302취,6302,0.02537292,-0.03800714,1.283413,-0.0001012514,0.003242862,0.001885635,-0.3809894,-0.2638701,-9.774785,0.003634491,-0.01856531,0.05688113,0.1,0.394492804272182,1.98952330938686,50.7706446020347,0.394492822355847,1.98952331726095,50.8811209468586,6344848.39610788,5891156.14848974,-0.1147381,-0.04638749,-0.1104763,-0.1104763,255,29
6.402취,6402,0.02539155,-0.03803454,1.283346,-0.001082871,-0.0004488477,-0.0002471403,-0.376584,-0.2527337,-9.749133,0.006424877,-0.01590201,0.08698016,0.1,0.394492804369645,1.98952330910534,50.7633193402035,0.394492822355847,1.98952331726095,50.8811209468586,6344848.39610788,5891156.14848974,-0.1141197,-0.04804597,-0.1178016,-0.1178016,255,29
6.502취,6502,0.02563551,-0.03771247,1.28332,0.0009590728,0.005921716,-0.001184495,-0.3844974,-0.2489738,-9.759226,0.004682884,-0.01757961,0.102044,0.1,0.394492804454794,1.98952330882802,50.753741976474,0.394492822355847,1.98952331726095,50.8811209468586,6344848.39610788,5891156.14848974,-0.1135795,-0.04967971,-0.127379,-0.127379,255,29
6.602취,6602,0.02569129,-0.03762893,1.283383,-0.00154217,0.0007246343,-0.000474281,-0.3706087,-0.2403506,-9.748096,0.002923804,-0.01853543,0.1048697,0.1,0.394492804508738,1.98952330850985,50.7433125047428,0.394492822355847,1.98952331726095,50.8811209468586,6344848.39610788,5891156.14848974,-0.1132372,-0.05155407,-0.1378084,-0.1378084,255,29
6.702취,6702,0.02570667,-0.03753151,1.283204,-0.0001234517,0.0007979948,-0.0001154349,-0.3793543,-0.2415067,-9.763945,0.0003158695,-0.02414037,0.09640408,0.1,0.394492804553415,1.98952330818687,50.7330634562713,0.394492822355847,1.98952331726095,50.8811209468586,6344848.39610788,5891156.14848974,-0.1129537,-0.05345682,-0.1480575,-0.1480575,255,29
6.802취,6802,0.02572393,-0.03700983,1.283124,0.001065459,-0.0003614202,-0.001007222,-0.3878911,-0.2548888,-9.776164,-0.0004307067,-0.02984539,0.07730163,0.1,0.394492804518072,1.9895233076655,50.7244159995062,0.394492822355847,1.98952331726095,50.8811209468586,6344848.39610788,5891156.14848974,-0.113178,-0.0565283,-0.1567049,-0.1567049,255,29
